/out X,/out Y,/in X,/in Y
5.100617558572963e-07,1.085320933493778,5.100617558572963e-07,1
5.100680928838347e-07,1.084900004614996,5.100680928838347e-07,1
5.100753625162665e-07,1.084518498583372,5.100753625162665e-07,1
5.100836317130404e-07,1.084190921767041,5.100836317130404e-07,1
5.1009283874842e-07,1.083932472039165,5.1009283874842e-07,1
5.101027142696346e-07,1.083753200940062,5.101027142696346e-07,1
5.101130451833979e-07,1.083649762378156,5.101130451833979e-07,1
5.101240043369222e-07,1.083611487169852,5.101240043369222e-07,1
5.101357917198014e-07,1.083631348563168,5.101357917198014e-07,1
5.101486262181687e-07,1.083704893900015,5.101486262181687e-07,1
5.101627584971901e-07,1.083829296362118,5.101627584971901e-07,1
5.101784712242892e-07,1.084002596986919,5.101784712242892e-07,1
5.101961164270579e-07,1.084223494289933,5.101961164270579e-07,1
5.102161640538921e-07,1.084491533775946,5.102161640538921e-07,1
5.102392712928217e-07,1.08480748062811,5.102392712928217e-07,1
5.102663951347016e-07,1.085173793590095,5.102663951347016e-07,1
5.102989898280599e-07,1.085595110975455,5.102989898280599e-07,1
5.103393872028055e-07,1.086078560817785,5.103393872028055e-07,1
5.103916040903884e-07,1.086633021814722,5.103916040903884e-07,1
5.104632866939509e-07,1.087263442231052,5.104632866939509e-07,1
5.105713634927647e-07,1.087940896078875,5.105713634927647e-07,1
5.107549426950695e-07,1.088413726198555,5.107549426950695e-07,1
5.109547751371721e-07,1.08808727375787,5.109547751371721e-07,1
5.111733537348534e-07,1.08690789327173,5.111733537348534e-07,1
5.113965011525946e-07,1.085011398135849,5.113965011525946e-07,1
5.116252310365316e-07,1.082530211232833,5.116252310365316e-07,1
5.118580449882962e-07,1.079614408472073,5.118580449882962e-07,1
5.120941187121871e-07,1.076396284240558,5.120941187121871e-07,1
5.123377634672524e-07,1.072915024604814,5.123377634672524e-07,1
5.1259372348274e-07,1.06917891986236,5.1259372348274e-07,1
5.12867219862368e-07,1.065177779052065,5.12867219862368e-07,1
5.13146756456342e-07,1.061138816302642,5.13146756456342e-07,1
5.134296164657321e-07,1.057147220913839,5.134296164657321e-07,1
5.137195510172393e-07,1.053186691894294,5.137195510172393e-07,1
5.140201452767502e-07,1.049243274507558,5.140201452767502e-07,1
5.143359220261449e-07,1.045295833637527,5.143359220261449e-07,1
5.14672232375789e-07,1.04132344193374,5.14672232375789e-07,1
5.150356327829277e-07,1.037306812885633,5.150356327829277e-07,1
5.154352495333062e-07,1.033221702094832,5.154352495333062e-07,1
5.158852779152557e-07,1.029029746776316,5.158852779152557e-07,1
5.164112030592636e-07,1.02465608807296,5.164112030592636e-07,1
5.17071469524928e-07,1.019908395172325,5.17071469524928e-07,1
5.179123193638488e-07,1.014926466053561,5.179123193638488e-07,1
5.18871840338606e-07,1.01048238597069,5.18871840338606e-07,1
5.197058779720568e-07,1.007522527977141,5.197058779720568e-07,1
5.204978410642339e-07,1.005347431242018,5.204978410642339e-07,1
5.212999067885352e-07,1.003651233258789,5.212999067885352e-07,1
5.221337001982669e-07,1.002315360676953,5.221337001982669e-07,1
5.230274904766493e-07,1.001257999475379,5.230274904766493e-07,1
5.239999227076101e-07,1.00043971900412,5.239999227076101e-07,1
5.250667589290656e-07,0.9998324238438413,5.250667589290656e-07,1
5.262467770203694e-07,0.9994080658871285,5.262467770203694e-07,1
5.27564738441805e-07,0.9991373092276018,5.27564738441805e-07,1
5.290564257856574e-07,0.9989899980953076,5.290564257856574e-07,1
5.307759836140929e-07,0.998936609854573,5.307759836140929e-07,1
5.328098121450488e-07,0.9989495321496489,5.328098121450488e-07,1
5.352042819121166e-07,0.9990018823627972,5.352042819121166e-07,1
5.379570768736693e-07,0.9990669644602508,5.379570768736693e-07,1
5.411645509231826e-07,0.9991273706955972,5.411645509231826e-07,1
5.449959542656292e-07,0.9991746933950548,5.449959542656292e-07,1
5.497019763096162e-07,0.9992066768455329,5.497019763096162e-07,1
5.556996600834512e-07,0.9992250766238552,5.556996600834512e-07,1
5.637266123939122e-07,0.9992335434455576,5.637266123939122e-07,1
5.748429696651758e-07,0.9992360127457345,5.748429696651758e-07,1
5.903469857263959e-07,0.9992359646158623,5.903469857263959e-07,1
6.10346985726396e-07,0.9992355174604193,6.10346985726396e-07,1
6.30346985726396e-07,0.9992353024875481,6.30346985726396e-07,1
6.50346985726396e-07,0.9992352213493152,6.50346985726396e-07,1
6.70346985726396e-07,0.9992351879589225,6.70346985726396e-07,1
6.90346985726396e-07,0.9992351733518984,6.90346985726396e-07,1
7.103469857263961e-07,0.9992351681003961,7.103469857263961e-07,1
7.303469857263961e-07,0.9992351671962533,7.303469857263961e-07,1
