/out X,/out Y,/in X,/in Y
3.499429963251973e-08,1.099363086969876,3.499429963251973e-08,1.1
3.761601766806615e-08,1.099324295916367,3.761601766806615e-08,1.1
4.070599366509238e-08,1.099286512711397,4.070599366509238e-08,1.1
4.438121720890567e-08,1.09925635698727,4.438121720890567e-08,1.1
4.888931685586071e-08,1.099235657704967,4.888931685586071e-08,1.1
5.465681035485301e-08,1.099223627225345,5.465681035485301e-08,1.1
6.240395792308648e-08,1.099218157751261,6.240395792308648e-08,1.1
7.350537094433447e-08,1.099216621741777,7.350537094433447e-08,1.1
9.086643881318085e-08,1.099216707437557,9.086643881318085e-08,1.1
1.108664388131809e-07,1.09921702786666,1.108664388131809e-07,1.1
1.308664388131809e-07,1.099217177319232,1.308664388131809e-07,1.1
1.508664388131808e-07,1.099217233954445,1.508664388131808e-07,1.1
1.708664388131808e-07,1.099217256629892,1.708664388131808e-07,1.1
1.908664388131808e-07,1.099217265565452,1.908664388131808e-07,1.1
2.108664388131808e-07,1.099217268151368,2.108664388131808e-07,1.1
2.308664388131808e-07,1.09921726821665,2.308664388131808e-07,1.1
2.508664388131808e-07,1.099217267705331,2.508664388131808e-07,1.1
2.708664388131808e-07,1.099217267313506,2.708664388131808e-07,1.1
2.908664388131809e-07,1.099217267131555,2.908664388131809e-07,1.1
3.108664388131809e-07,1.099217267076764,3.108664388131809e-07,1.1
3.308664388131809e-07,1.09921726707169,3.308664388131809e-07,1.1
3.508664388131809e-07,1.099217267077867,3.508664388131809e-07,1.1
3.708664388131809e-07,1.099217267082945,3.708664388131809e-07,1.1
3.90866438813181e-07,1.09921726708533,3.90866438813181e-07,1.1
4.10866438813181e-07,1.099217267086082,4.10866438813181e-07,1.1
4.30866438813181e-07,1.099217267086184,4.30866438813181e-07,1.1
4.50866438813181e-07,1.099217267086128,4.50866438813181e-07,1.1
4.70866438813181e-07,1.099217267086072,4.70866438813181e-07,1.1
4.90866438813181e-07,1.099217267086045,4.90866438813181e-07,1.1
5.100099999999999e-07,1.099217267086034,5.100099999999999e-07,1.1
5.10012008193196e-07,1.095604177539025,5.10012008193196e-07,1.079918068039825
5.100134999754897e-07,1.092800447990988,5.100134999754897e-07,1.06500024510284
5.100142897767583e-07,1.091292485261561,5.100142897767583e-07,1.057102232416765
5.10015101967149e-07,1.089740198789831,5.10015101967149e-07,1.048980328509237
5.100161257966445e-07,1.087787195566868,5.100161257966445e-07,1.038742033554708
5.100181734556354e-07,1.083892666002373,5.100181734556354e-07,1.018265443645651
5.100199999999999e-07,1.080430576304581,5.100199999999999e-07,1
5.100201638603128e-07,1.0803649275697,5.100201638603128e-07,1
5.100203398082183e-07,1.080297449870599,5.100203398082183e-07,1
5.100205257266088e-07,1.080246993112736,5.100205257266088e-07,1
5.100207437630769e-07,1.080213362376116,5.100207437630769e-07,1
5.100209205496726e-07,1.080200276106677,5.100209205496726e-07,1
5.100211335950505e-07,1.080194115186152,5.100211335950505e-07,1
5.100214269260159e-07,1.080194186288025,5.100214269260159e-07,1
5.10021878737072e-07,1.080202012306872,5.10021878737072e-07,1
5.100226132673428e-07,1.080220090744004,5.100226132673428e-07,1
5.10023804726491e-07,1.080250962858999,5.10023804726491e-07,1
5.100259034497322e-07,1.080304265200404,5.100259034497322e-07,1
5.100301008962146e-07,1.080409203991761,5.100301008962146e-07,1
5.100384957891793e-07,1.080616340210432,5.100384957891793e-07,1
5.100552855751088e-07,1.081020315303596,5.100552855751088e-07,1
5.100888651469678e-07,1.081787277239028,5.100888651469678e-07,1
5.101560242906858e-07,1.083161670670714,5.101560242906858e-07,1
5.102739163029383e-07,1.085087765153296,5.102739163029383e-07,1
5.103979002673956e-07,1.086494501407102,5.103979002673956e-07,1
5.105280225941508e-07,1.087357777253074,5.105280225941508e-07,1
5.106687942139218e-07,1.087674203748343,5.106687942139218e-07,1
5.108227804195784e-07,1.087397789977686,5.108227804195784e-07,1
5.109973050239258e-07,1.086444913776236,5.109973050239258e-07,1
5.111858368449443e-07,1.084820037671876,5.111858368449443e-07,1
5.113771182457055e-07,1.082699342833177,5.113771182457055e-07,1
5.115719764423949e-07,1.080192559457625,5.115719764423949e-07,1
5.117725025420904e-07,1.077369739664976,5.117725025420904e-07,1
5.119815592661513e-07,1.074267002302821,5.119815592661513e-07,1
5.12203113708863e-07,1.070887503452956,5.12203113708863e-07,1
5.124415924837824e-07,1.067218880733462,5.124415924837824e-07,1
5.127000025337319e-07,1.063270319330226,5.127000025337319e-07,1
5.129610321911472e-07,1.059355925036296,5.129610321911472e-07,1
5.132274526848272e-07,1.055471483760678,5.132274526848272e-07,1
5.13502968270181e-07,1.051597460233143,5.13502968270181e-07,1
